Processing Time,Concentration,CUmulative Mortality rate
1d,A,0
2d,A,10
3d,A,20
4d,A,30
5d,A,30
6d,A,30
7d,A,30
8d,A,30
9d,A,30
10d,A,33.33
11d,A,40
12d,A,40
13d,A,43.33
14d,A,50
15d,A,60
1d,B,0
2d,B,10
3d,B,30
4d,B,40
5d,B,46.67
6d,B,46.67
7d,B,46.67
8d,B,46.67
9d,B,50
10d,B,60
11d,B,66.67
12d,B,76.67
13d,B,76.67
14d,B,76.67
15d,B,80
1d,C,0
2d,C,10
3d,C,30
4d,C,40
5d,C,50
6d,C,60
7d,C,63.33
8d,C,63.33
9d,C,66.67
10d,C,66.67
11d,C,70
12d,C,76.67
13d,C,80
14d,C,80
15d,C,83.33
1d,D,0
2d,D,10
3d,D,40
4d,D,60
5d,D,73.33
6d,D,76.67
7d,D,76.67
8d,D,76.67
9d,D,80
10d,D,80
11d,D,83.33
12d,D,86.67
13d,D,93.33
14d,D,96.67
15d,D,100
