Formula,wg
A,
A,
A,
A,
A,0.826
A,1.006
A,1.563
A,
A,1.194
A,0.409
A,0.693
A,1.946
A,
A,
A,
A,0.264
A,0.530 
A,0.980 
A,
A,1.131
A,0.789
A,0.942
A,0.460 
A,
A,
A,1.005
A,1.622
A,0.697
A,0.532
B,
B,1.377 
B,
B,
B,1.223 
B,
B,2.110 
B,1.811 
B,1.768 
B,1.831 
B,2.874 
B,
B,
B,
B,1.365 
B,
B,1.333 
B,1.522 
B,2.532 
B,3.037 
B,
B,1.079 
B,1.506 
B,1.038 
B,1.573 
B,1.543 
B,2.914 
B,1.479 
B,2.317 
B,1.223 
B,0.068 
C,1.856 
C,1.644 
C,2.232 
C,1.409 
C,0.998 
C,4.858 
C,1.842 
C,0.182 
C,3.299 
C,1.282 
C,
C,
C,
C,2.248 
C,1.459 
C,2.515 
C,2.055 
C,2.140 
C,2.567 
C,
C,4.225 
C,
C,3.209 
C,
C,2.058 
C,3.555 
C,2.341 
C,1.361 
C,1.579 
D,3.528 
D,4.103 
D,3.477 
D,
D,2.871 
D,3.025 
D,1.318 
D,2.868 
D,0.338 
D,
D,3.123 
D,2.906 
D,1.462 
D,2.917 
D,2.271 
D,0.882 
D,
D,1.875 
D,
D,2.189 
D,2.244 
D,3.524 
D,1.617 
D,1.784 
D,
D,2.467 
D,4.366 
D,2.107 
D,1.316 
E,2.057 
E,2.656 
E,1.654 
E,3.355 
E,1.356 
E,2.187 
E,2.006
E,3.131 
E,
E,
E,3.210 
E,
E,3.889 
E,
E,3.709 
E,3.966 
E,
E,
E,3.647 
E,2.596 
E,
E,0.154 
E,3.353 
E,1.324 
E,2.453 
E,0.168
E,0.944 
E,2.208 
E,0.138 
F,3.018 
F,
F,1.427 
F,2.246 
F,1.179 
F,2.624 
F,2.166 
F,1.843 
F,0.729 
F,1.957 
F,
F,
F,
F,0.881 
F,
F,
F,
F,
F,
F,1.505 
F,1.300 
F,
F,1.842 
F,0.586 
F,
F,3.040 
F,1.144 
F,0.371 
F,1.680 
G,3.175 
G,4.423
G,3.674 
G,1.949 
G,0.290 
G,
G,
G,3.072 
G,2.141 
G,3.184 
G,2.416 
G,
G,0.155 
G,3.165 
G,2.826 
G,
G,3.107 
G,
G,3.348 
G,2.835 
G,3.927 
G,2.036 
G,3.920 
G,4.066 
G,4.189 
G,2.432 
G,3.639 
G,3.405 
G,2.423 
G,2.939 
H,
H,0.859
H,0.650 
H,1.202 
H,
H,0.491 
H,
H,
H,
H,0.359 
H,
H,1.584
H,1.195 
H,1.209 
H,1.299 
H,1.075 
H,
H,1.221 
H,1.338 
H,
H,
H,
H,0.740 
H,
H,1.024 
H,1.390 
H,
H,
H,1.397 
H,0.932 
I,2.478 
I,
I,4.187 
I,
I,1.566 
I,2.900 
I,1.351 
I,2.109 
I,3.697 
I,
I,1.553 
I,2.695 
I,4.390 
I,3.755 
I,3.573 
I,2.869 
I,2.510 
I,
I,2.536 
I,3.708 
I,4.177 
I,3.242 
I,3.109 
I,3.372 
I,2.642 
I,2.784 
I,2.758 
I,2.656 
I,4.743 
I,3.601 
I,3.037 
Best,2.695 
Best,
Best,4.404 
Best,
Best,1.783 
Best,3.117 
Best,1.568 
Best,2.326 
Best,3.914 
Best,
Best,1.770 
Best,2.912 
Best,4.607 
Best,3.972 
Best,3.790 
Best,3.086 
Best,2.727 
Best,
Best,2.753 
Best,3.925 
Best,4.394 
Best,3.459 
Best,3.326 
Best,3.589 
Best,2.859 
Best,3.001 
Best,2.975 
Best,2.873 
Best,4.960 
Best,3.818 
Best,3.254 
