time,type,Mei,mh
05d,Y,Pro,180.8146174
15d,Y,Pro,124.4131455
25d,Y,Pro,112.295394
40d,Y,Pro,159.2437508
60d,Y,Pro,151.8208349
80d,Y,Pro,61.1597513
05d,X,Pro,152.264941
15d,X,Pro,51.96041112
25d,X,Pro,44.41060779
40d,X,Pro,71.12041619
60d,X,Pro,53.10239817
80d,X,Pro,69.1536607
05d,M,Pro,119.908641
15d,M,Pro,178.2768684
25d,M,Pro,95.92691283
40d,M,Pro,66.67935541
60d,M,Pro,74.92703972
80d,M,Pro,69.02677325
05d,Y,Cle_Cx,631.07
15d,Y,Cle_Cx,900.91
25d,Y,Cle_Cx,535.83
40d,Y,Cle_Cx,839.68
60d,Y,Cle_Cx,771.66
80d,Y,Cle_Cx,1546.03
05d,X,Cle_Cx,928.12
15d,X,Cle_Cx,929.25
25d,X,Cle_Cx,826.08
40d,X,Cle_Cx,981.41
60d,X,Cle_Cx,809.07
80d,X,Cle_Cx,1124.26
05d,M,Cle_Cx,934.92
15d,M,Cle_Cx,971.2
25d,M,Cle_Cx,928.12
40d,M,Cle_Cx,955.33
60d,M,Cle_Cx,1208.16
80d,M,Cle_Cx,1787.53
05d,Y,Cle_C1,261.45
15d,Y,Cle_C1,110.66
25d,Y,Cle_C1,98.19
40d,Y,Cle_C1,368.03
60d,Y,Cle_C1,246.71
80d,Y,Cle_C1,361.22
05d,X,Cle_C1,154.88
15d,X,Cle_C1,217.23
25d,X,Cle_C1,117.46
40d,X,Cle_C1,278.46
60d,X,Cle_C1,178.68
80d,X,Cle_C1,230.84
05d,M,Cle_C1,51.7
15d,M,Cle_C1,243.31
25d,M,Cle_C1,117.46
40d,M,Cle_C1,227.44
60d,M,Cle_C1,346.49
80d,M,Cle_C1,242.18
05d,M,Cle_FPA,385.0340136
15d,Y,Cle_FPA,116.3265306
25d,Y,Cle_FPA,560.7709751
40d,Y,Cle_FPA,649.2063492
60d,Y,Cle_FPA,946.2585034
80d,Y,Cle_FPA,694.5578231
05d,X,Cle_FPA,601.5873016
15d,X,Cle_FPA,158.276644
25d,X,Cle_FPA,954.1950113
40d,X,Cle_FPA,573.2426304
60d,X,Cle_FPA,414.5124717
80d,X,Cle_FPA,436.0544218
05d,M,Cle_FPA,112.9251701
15d,M,Cle_FPA,258.0498866
25d,M,Cle_FPA,247.845805
40d,M,Cle_FPA,458.7301587
60d,M,Cle_FPA,1056.235828
80d,M,Cle_FPA,1508.61678
05d,Y,Suc,128.1547619
15d,Y,Suc,75.17857143
25d,Y,Suc,25.17857143
40d,Y,Suc,129.9404762
60d,Y,Suc,122.9761905
80d,Y,Suc,15.6547619
05d,X,Suc,46.01190476
15d,X,Suc,83.51190476
25d,X,Suc,153.75
40d,X,Suc,47.26190476
60d,X,Suc,30.35714286
80d,X,Suc,2.55952381
05d,M,Suc,76.96428571
15d,M,Suc,13.86904762
25d,M,Suc,53.75
40d,M,Suc,43.0952381
60d,M,Suc,50.83333333
80d,M,Suc,12.08333333
