Genus,Abundance,Food,Phylum,
Bacillus,7,Y,Firmicutes,
Lysinibacillus,2,Y,Firmicutes,
Weissella,1,Y,Firmicutes,
Enterococcus,3,Y,Firmicutes,
Lactococcus,4,Y,Firmicutes,
Lactobacillus,0,Y,Firmicutes,
Paenibacillus,0,Y,Firmicutes,
Pseudomonas,2,Y,Proteobacteria,
Stenotrophomonas,1,Y,Proteobacteria,
Acinetobacter,2,Y,Proteobacteria,
Providencia,1,Y,Proteobacteria,
Raoultella,1,Y,Proteobacteria,
Klebsiella,2,Y,Proteobacteria,
Enterobacter,2,Y,Proteobacteria,
Citrobacter,0,Y,Proteobacteria,
Serratia,2,Y,Proteobacteria,
Bacillus,5,X,Firmicutes,
Lysinibacillus,0,X,Firmicutes,
Weissella,0,X,Firmicutes,
Enterococcus,7,X,Firmicutes,
Lactococcus,3,X,Firmicutes,
Lactobacillus,2,X,Firmicutes,
Paenibacillus,0,X,Firmicutes,
Pseudomonas,3,X,Proteobacteria,
Stenotrophomonas,1,X,Proteobacteria,
Acinetobacter,0,X,Proteobacteria,
Providencia,0,X,Proteobacteria,
Raoultella,1,X,Proteobacteria,
Klebsiella,4,X,Proteobacteria,
Enterobacter,0,X,Proteobacteria,
Citrobacter,1,X,Proteobacteria,
Serratia,2,X,Proteobacteria,
Bacillus,3,M,Firmicutes,
Lysinibacillus,0,M,Firmicutes,
Weissella,0,M,Firmicutes,
Enterococcus,6,M,Firmicutes,
Lactococcus,0,M,Firmicutes,
Lactobacillus,0,M,Firmicutes,
Paenibacillus,1,M,Firmicutes,
Pseudomonas,1,M,Proteobacteria,
Stenotrophomonas,1,M,Proteobacteria,
Acinetobacter,0,M,Proteobacteria,
Providencia,0,M,Proteobacteria,
Raoultella,4,M,Proteobacteria,
Klebsiella,2,M,Proteobacteria,
Enterobacter,4,M,Proteobacteria,
Citrobacter,3,M,Proteobacteria,
Serratia,2,M,Proteobacteria,
