Processing Time,Concentration,CUmulative Mortality rate
1d,B,0
2d,B,0
3d,B,0
4d,B,0
5d,B,0
6d,B,3.30%
7d,B,3.30%
8d,B,3.30%
9d,B,3.30%
10d,B,3.30%
11d,B,3.30%
12d,B,13.30%
13d,B,16.70%
14d,B,23.40%
15d,B,36.70%
1d,C,0
2d,C,0
3d,C,0
4d,C,3.30%
5d,C,3.30%
6d,C,3.30%
7d,C,16.70%
8d,C,23.30%
9d,C,30%
10d,C,40%
11d,C,43.30%
12d,C,50%
13d,C,56.67%
14d,C,56.67%
15d,C,73.33%
1d,D,0
2d,D,0
3d,D,0
4d,D,3.30%
5d,D,3.30%
6d,D,3.30%
7d,D,3.30%
8d,D,3.30%
9d,D,3.30%
10d,D,3.30%
11d,D,3.30%
12d,D,16.70%
13d,D,23.40%
14d,D,36.70%
15d,D,40%
1d,E,0
2d,E,3.30%
3d,E,3.30%
4d,E,10%
5d,E,13.30%
6d,E,13.30%
7d,E,16.70%
8d,E,23.30%
9d,E,23.30%
10d,E,30%
11d,E,30%
12d,E,40%
13d,E,43.30%
14d,E,50%
15d,E,56.70%
