Processing Time,Concentration,CUmulative Mortality rate
1d,A1,0
2d,A1,0
3d,A1,0
4d,A1,0
5d,A1,0
6d,A1,0
7d,A1,3.30%
8d,A1,3.30%
9d,A1,3.30%
10d,A1,13.30%
11d,A1,13.30%
12d,A1,16.70%
13d,A1,16.70%
14d,A1,23.40%
15d,A1,23.40%
1d,A2,0
2d,A2,0
3d,A2,0
4d,A2,3.30%
5d,A2,3.30%
6d,A2,3.30%
7d,A2,16.70%
8d,A2,16.70%
9d,A2,16.70%
10d,A2,23%
11d,A2,23%
12d,A2,27%
13d,A2,30.00%
14d,A2,33.30%
15d,A2,33.30%
1d,A3,0
2d,A3,0
3d,A3,0
4d,A3,3.30%
5d,A3,3.30%
6d,A3,3.30%
7d,A3,16.70%
8d,A3,16.70%
9d,A3,16.70%
10d,A3,16.70%
11d,A3,23.30%
12d,A3,23.40%
13d,A3,23.40%
14d,A3,36.70%
15d,A3,40%
1d,A4,0
2d,A4,3.30%
3d,A4,3.30%
4d,A4,13%
5d,A4,13.30%
6d,A4,13.30%
7d,A4,16.70%
8d,A4,23.30%
9d,A4,23.30%
10d,A4,30%
11d,A4,30%
12d,A4,40%
13d,A4,46.70%
14d,A4,46.70%
15d,A4,46.70%
